As1,As2,As3,As4,As5,As6,Final,Final1,Final2,Final3,Final4,Final5,Proj,Proj1,Qz1,Qz2,Qz3,Qz4,Qz5,Qz6,Qz7,Qz8,Mid1,Mid2
92.0,51.0,0.0,35.0,85.0,72.0,21.37,47.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.5,1.5,1.0,1.0,2.0,1.0,2.0,6.93,6.09
122.0,54.5,79.0,35.0,90.0,0.0,20.58,45.75,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.5,0.0,1.0,1.0,4.5,4.0,2.0,5.25,2.15
109.0,0.0,75.5,33.0,100.0,88.0,21.26,47.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.5,6.0,0.0,1.0,3.5,2.0,2.0,5.62,1.87
0.0,62.0,79.0,50.0,88.0,90.0,27.56,61.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,10.0,3.0,4.0,4.0,2.0,5.81,5.25
0.0,63.5,85.0,50.0,96.0,33.0,22.16,49.25,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,10.0,3.0,4.0,4.0,2.0,8.06,11.06
104.0,0.0,0.0,49.5,94.0,80.0,29.36,65.25,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0,9.5,1.0,0.0,5.0,6.0,2.0,7.12,6.93
103.0,0.0,80.0,50.0,110.0,90.0,28.68,63.75,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,10.0,10.0,2.0,5.0,0.0,2.0,11.06,7.21
73.5,53.5,65.0,37.0,90.0,53.0,20.02,44.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.5,0.0,1.0,3.5,2.0,2.0,5.43,4.12
108.0,44.5,50.0,43.5,80.0,54.0,20.47,45.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,1.5,4.0,9.0,2.0,8.06,6.37
107.0,56.0,82.5,47.0,40.0,65.0,28.8,64.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,9.5,10.0,10.0,4.5,10.0,2.0,10.96,8.15
119.0,42.0,72.0,46.0,108.0,80.0,29.92,66.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,8.0,1.5,0.5,3.0,3.5,8.0,2.0,7.12,6.93
75.0,0.0,0.0,15.0,87.0,0.0,6.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,6.0,1.0,0.0,2.0,0.0,0.0,0.0,4.68,0.75
103.0,52.0,60.0,21.0,65.5,79.0,26.43,58.75,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.0,1.0,0.0,3.0,3.5,9.0,2.0,7.31,5.53
56.5,0.0,61.0,25.5,59.0,71.0,16.08,35.75,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,2.0,0.0,2.0,3.5,4.0,2.0,4.5,4.96
110.0,53.5,70.5,30.0,61.0,73.0,19.57,43.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,8.5,1.0,10.0,5.0,2.5,5.0,2.0,5.06,2.43
89.0,40.0,32.5,33.5,54.0,49.0,19.57,43.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5,0.0,0.0,3.0,2.0,3.0,2.0,4.31,1.59
92.0,70.0,82.0,42.5,0.0,84.5,18.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,0.0,8.0,4.0,3.0,2.0,4.4,4.31
101.0,49.5,0.0,47.5,88.0,46.0,10.91,24.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.5,0.5,0.0,1.0,2.0,2.0,2.0,6.56,2.9
62.0,0.0,57.0,30.0,87.0,67.0,12.48,27.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,3.0,0.0,6.0,2.0,3.37,1.59
84.0,51.0,44.5,28.0,80.0,48.0,16.31,36.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,9.0,3.0,7.0,2.0,5.25,1.5
125.0,60.0,84.0,40.5,110.0,86.0,22.83,50.75,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.0,0.0,0.0,3.0,2.5,2.0,2.0,8.06,4.31
97.0,0.0,50.0,41.0,72.0,0.0,6.52,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,3.0,0.0,0.0,2.0,4.4,1.4
3.0,3.0,3.0,3.0,3.0,3.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,15.0
130.0,70.0,100.0,50.0,120.0,80.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,10.0,10.0,10.0,5.0,12.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,57.0,79.0,47.0,115.0,68.0,26.66,59.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,10.0,2.0,0.0,7.0,2.0,10.68,8.62
100.0,57.0,81.0,42.0,117.0,71.0,31.83,70.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10.0,10.0,2.0,5.0,12.0,2.0,8.25,10.5
71.0,68.0,92.0,47.0,87.0,55.0,22.83,50.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,0.0,0.0,7.0,2.0,5.62,4.68
95.0,0.0,67.4,33.0,78.0,42.0,15.63,34.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,1.5,8.0,2.0,4.68,2.15
0.0,60.0,98.0,46.0,114.0,73.0,25.08,55.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,10.0,10.0,2.0,5.0,2.0,5.25,9.0
60.0,0.0,38.0,24.0,50.0,48.0,16.31,36.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,2.0,0.0,1.5,6.0,2.0,5.25,3.75
90.0,54.0,30.3,20.0,62.0,24.0,16.53,36.75,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,2.0,1.0,6.0,2.0,4.5,2.43
0.0,0.0,46.0,17.0,106.0,64.0,16.76,37.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.5,9.0,2.0,3.37,4.31
0.0,70.0,71.0,24.0,75.0,70.0,21.6,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,7.0,0.0,6.0,2.0,3.75,5.62
82.0,60.0,52.0,38.0,22.0,0.0,19.8,44.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,8.0,2.0,10.0,2.0,5.0,0.0,2.0,8.34,7.31
97.0,0.0,98.0,48.0,116.0,77.0,25.76,57.25,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,10.0,2.0,0.0,10.0,2.0,12.0,9.18
127.0,68.0,98.0,47.0,118.0,76.0,34.31,76.25,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,4.0,10.0,4.0,5.0,12.0,2.0,13.21,12.0
76.0,30.0,61.1,45.0,97.0,68.0,22.95,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.0,2.0,2.0,3.0,1.5,12.0,2.0,4.78,4.12
124.0,57.0,74.0,25.0,59.0,37.0,16.98,37.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,8.0,2.0,1.5,8.0,2.0,7.12,7.31
83.0,55.0,33.1,37.0,69.0,55.0,11.92,26.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.0,0.0,2.0,0.0,1.5,5.0,2.0,4.4,2.25
117.0,64.0,98.0,45.0,99.0,77.0,17.55,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,7.0,5.0,1.0,6.0,2.0,5.53,4.31
124.0,68.0,99.0,48.0,117.0,73.0,30.03,66.75,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,10.0,10.0,0.0,12.0,2.0,8.53,8.81
105.0,60.0,79.0,44.0,109.0,68.0,18.11,40.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,2.0,1.5,7.0,2.0,7.5,3.93
0.0,52.0,82.0,33.0,86.0,0.0,15.3,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.0,2.0,1.5,12.0,2.0,4.68,3.0
0.0,68.0,0.0,41.0,88.0,75.0,3.15,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,11.0,2.0,3.18,0.0
0.0,67.0,54.0,34.0,105.0,51.0,23.06,51.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,7.0,0.0,0.0,2.0,8.43,4.31
94.0,60.0,83.0,19.6,74.0,55.0,20.92,46.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.0,0.0,1.0,3.0,2.5,9.0,2.0,6.93,2.71
0.0,40.0,38.7,17.0,67.0,47.0,7.42,16.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,6.0,2.0,1.59,2.71
77.0,65.0,37.0,34.0,80.0,54.0,12.82,28.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,6.0,0.0,2.0,0.0,1.5,0.0,2.0,5.34,2.43
0.0,50.0,56.0,33.0,89.0,57.0,17.32,38.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,8.0,2.0,5.9,1.68
0.0,56.0,25.4,14.0,0.0,0.0,2.47,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.46
0.0,62.0,82.0,35.0,115.0,57.0,21.48,47.75,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.0,1.0,3.0,1.0,2.0,12.0,2.0,7.68,5.62
0.0,60.0,82.0,29.0,97.0,57.0,19.57,43.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,10.0,2.0,1.5,12.0,2.0,7.12,3.56
3.75,3.75,3.75,3.75,3.75,0.0,40.0,40.0,0.0,0.0,0.0,0.0,3.0,3.0,1.66,1.66,1.66,1.66,1.66,1.66,1.66,0.0,15.0,15.0
80.0,100.0,120.0,60.0,80.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,74.0,42.0,0.0,0.0,15.0,41.25,0.0,0.0,0.0,0.0,2.1,70.0,9.0,2.0,0.0,8.0,5.0,8.0,6.0,0.0,10.87,4.34
67.5,0.0,90.0,55.0,59.0,0.0,26.09,71.75,0.0,0.0,0.0,0.0,2.25,75.0,10.0,4.5,7.0,10.0,7.0,6.0,3.0,0.0,11.81,9.6
67.0,44.0,80.0,0.0,0.0,0.0,2.18,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,3.93,0.15
0.0,0.0,0.0,20.0,46.0,0.0,14.0,38.5,0.0,0.0,0.0,0.0,1.35,45.0,0.0,6.5,6.0,6.5,6.0,7.0,5.0,0.0,8.25,2.88
27.25,51.5,102.0,0.0,70.0,0.0,9.72,26.75,0.0,0.0,0.0,0.0,2.1,70.0,10.0,3.5,6.5,2.0,4.0,0.0,4.5,0.0,9.93,2.54
53.5,64.5,86.0,37.0,50.0,0.0,17.18,47.25,0.0,0.0,0.0,0.0,1.95,65.0,8.5,7.0,10.0,6.0,9.5,7.0,3.5,0.0,9.56,10.5
27.5,69.0,71.0,48.0,47.0,0.0,8.9,24.5,0.0,0.0,0.0,0.0,2.4,80.0,4.5,2.0,1.0,0.0,4.0,6.0,6.0,0.0,4.12,1.2
72.5,82.0,101.0,57.0,67.0,0.0,21.18,58.25,0.0,0.0,0.0,0.0,1.5,50.0,6.0,6.0,8.5,6.0,4.0,10.0,6.0,0.0,13.12,6.0
65.5,62.5,96.0,56.0,46.0,0.0,16.72,46.0,0.0,0.0,0.0,0.0,1.5,50.0,7.0,2.5,9.0,2.0,4.0,5.0,0.0,0.0,4.5,7.5
43.0,74.0,71.0,28.0,39.0,0.0,7.18,19.75,0.0,0.0,0.0,0.0,0.9,30.0,2.5,0.0,7.0,8.5,5.0,4.0,4.5,0.0,3.18,2.19
65.0,81.5,0.0,48.0,30.0,0.0,7.54,20.75,0.0,0.0,0.0,0.0,1.8,60.0,2.0,0.0,7.5,2.0,8.0,2.0,0.0,0.0,3.37,0.39
74.0,52.0,119.0,60.0,80.0,0.0,24.36,67.0,0.0,0.0,0.0,0.0,2.54,85.0,10.0,9.5,8.0,5.0,7.0,10.0,7.5,0.0,12.56,12.6
69.0,81.5,115.0,60.0,78.0,0.0,17.36,47.75,0.0,0.0,0.0,0.0,1.65,55.0,3.5,2.0,9.0,6.0,8.0,6.0,0.0,0.0,6.0,5.49
61.0,42.0,83.0,0.0,0.0,0.0,17.36,47.75,0.0,0.0,0.0,0.0,1.95,65.0,10.0,0.0,6.0,8.5,9.0,7.0,4.5,0.0,5.81,7.05
22.25,38.5,65.5,26.0,0.0,0.0,9.09,25.0,0.0,0.0,0.0,0.0,0.9,30.0,2.5,0.0,3.5,4.0,6.0,6.0,1.0,0.0,0.56,0.84
0.0,0.0,0.0,0.0,0.0,0.0,3.63,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.0,4.0,1.0,1.5,0.0,1.87,0.3
53.5,29.5,78.0,0.0,0.0,0.0,15.0,41.25,0.0,0.0,0.0,0.0,1.65,55.0,6.5,4.0,6.0,6.0,10.0,5.0,7.0,0.0,9.18,7.95
49.0,76.0,107.0,58.0,0.0,0.0,17.63,48.5,0.0,0.0,0.0,0.0,2.1,70.0,7.0,4.0,4.0,6.0,7.0,5.0,7.5,0.0,4.12,4.65
24.25,69.0,75.0,48.0,76.0,0.0,15.0,41.25,0.0,0.0,0.0,0.0,1.05,35.0,5.5,2.0,4.0,6.0,2.0,6.0,3.5,0.0,5.06,6.39
71.0,83.0,113.0,60.0,76.0,0.0,14.18,39.0,0.0,0.0,0.0,0.0,2.4,80.0,7.0,4.5,4.0,5.0,9.0,0.0,4.0,0.0,9.18,4.05
53.0,87.0,96.0,0.0,0.0,0.0,14.36,39.5,0.0,0.0,0.0,0.0,2.1,70.0,7.5,3.5,5.5,2.0,6.0,3.0,4.0,0.0,7.12,5.09
63.5,0.0,97.0,57.0,77.0,0.0,15.36,42.25,0.0,0.0,0.0,0.0,2.85,95.0,0.0,7.0,8.0,6.0,10.0,5.0,7.0,0.0,6.37,5.25
61.0,65.0,81.0,0.0,69.0,0.0,7.0,19.25,0.0,0.0,0.0,0.0,1.05,35.0,6.5,8.5,3.0,6.0,4.0,0.0,0.0,0.0,5.43,0.6
69.5,82.5,90.0,58.0,76.0,0.0,18.54,51.0,0.0,0.0,0.0,0.0,1.8,60.0,7.0,1.0,9.0,6.0,9.0,7.0,0.0,0.0,6.75,7.35
61.5,51.5,70.0,0.0,55.0,0.0,14.18,39.0,0.0,0.0,0.0,0.0,1.5,50.0,7.0,2.5,4.0,6.0,9.0,10.0,4.0,0.0,6.18,4.88
51.0,80.0,116.0,51.0,74.0,0.0,13.81,38.0,0.0,0.0,0.0,0.0,2.1,70.0,7.5,2.5,6.0,6.0,8.0,7.0,5.0,0.0,10.31,4.05
70.0,79.5,101.0,58.0,58.0,0.0,18.36,50.5,0.0,0.0,0.0,0.0,2.4,80.0,9.0,9.5,8.0,8.5,8.0,7.0,8.5,0.0,10.31,8.85
65.5,0.0,76.0,40.0,52.0,0.0,6.36,17.5,0.0,0.0,0.0,0.0,2.7,90.0,10.0,5.0,8.0,0.0,3.0,0.0,5.5,0.0,3.75,1.35
66.5,37.0,0.0,0.0,0.0,0.0,2.9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,4.31,0.0
59.5,53.5,87.0,46.0,75.0,0.0,18.45,50.75,0.0,0.0,0.0,0.0,2.1,70.0,7.0,2.5,3.5,6.0,4.0,2.0,3.5,0.0,7.68,7.17
46.5,0.0,88.0,46.0,56.0,0.0,13.81,38.0,0.0,0.0,0.0,0.0,2.4,80.0,9.0,0.0,1.5,5.0,10.0,8.0,4.0,0.0,7.31,8.55
64.5,36.0,50.0,18.0,21.0,0.0,9.0,24.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.5,5.0,6.0,8.0,0.0,3.5,0.0,3.56,0.9
68.5,77.5,70.0,46.0,37.0,0.0,10.36,28.5,0.0,0.0,0.0,0.0,1.8,60.0,7.5,8.0,4.5,6.0,0.0,5.0,1.0,0.0,7.87,4.65
69.0,87.0,105.0,0.0,67.0,0.0,13.18,36.25,0.0,0.0,0.0,0.0,2.4,80.0,10.0,9.5,3.0,0.0,5.0,0.0,10.5,0.0,12.18,7.35
71.5,38.0,79.0,41.0,0.0,0.0,6.18,17.0,0.0,0.0,0.0,0.0,2.25,75.0,6.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,4.87,3.3
72.0,82.0,101.0,0.0,55.0,0.0,12.27,33.75,0.0,0.0,0.0,0.0,2.85,95.0,7.0,0.0,9.0,8.0,7.0,7.0,3.5,0.0,8.43,4.95
65.0,71.5,111.0,48.0,0.0,0.0,6.0,16.5,0.0,0.0,0.0,0.0,1.95,65.0,7.0,2.5,4.5,4.0,8.0,2.0,0.0,0.0,5.62,0.45
0.0,25.0,54.0,14.0,0.0,0.0,4.36,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2.0,3.0,2.0,0.0,0.0,0.0,1.87,0.45
68.5,86.0,78.0,54.0,73.0,0.0,15.09,41.5,0.0,0.0,0.0,0.0,2.54,85.0,0.0,0.0,5.5,8.5,7.0,4.0,3.5,0.0,5.62,7.74
61.0,63.0,80.0,0.0,63.0,0.0,10.45,28.75,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.5,2.5,3.0,5.0,0.0,5.5,0.0,8.25,4.86
67.5,86.0,99.0,53.0,70.0,0.0,13.54,37.25,0.0,0.0,0.0,0.0,1.95,65.0,7.0,4.5,3.5,7.0,7.0,0.0,0.0,0.0,6.75,3.75
64.0,82.0,106.0,51.0,73.0,0.0,12.54,34.5,0.0,0.0,0.0,0.0,2.85,95.0,8.5,7.0,5.5,8.5,5.0,7.0,2.5,0.0,8.43,3.9
44.0,78.5,101.0,0.0,0.0,0.0,8.18,22.5,0.0,0.0,0.0,0.0,1.2,40.0,4.0,2.5,4.0,0.0,7.0,8.0,0.0,0.0,6.75,1.35
44.5,83.0,91.0,0.0,65.0,0.0,3.81,10.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.5,8.0,0.0,6.0,0.0,0.5,0.0,3.0,1.35
3.75,3.75,3.75,3.75,3.75,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.66,1.66,1.66,1.66,1.66,1.66,0.0,15.0,15.0
80.0,100.0,120.0,60.0,80.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.5,0.0,102.5,43.5,64.5,0.0,13.27,36.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,8.5,4.0,6.5,0.0,4.5,4.0,0.0,7.12,3.09
79.0,90.0,116.0,52.0,0.0,0.0,20.72,57.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.5,9.0,9.5,4.5,8.0,6.0,0.0,10.87,10.8
34.0,79.0,0.0,44.0,50.5,0.0,12.9,35.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,4.0,6.0,7.5,4.5,0.0,5.25,2.7
78.0,80.5,85.5,0.0,61.0,0.0,17.54,48.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.5,6.5,6.5,4.5,4.0,11.0,0.0,10.12,10.95
72.0,77.5,97.5,42.0,64.0,0.0,16.9,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.5,6.0,2.0,1.0,7.5,0.0,3.56,9.6
72.0,68.0,103.5,0.0,76.5,0.0,6.63,18.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,10.0,4.5,0.0,7.0,0.0,0.0,4.68,3.45
76.0,67.0,73.0,42.0,73.0,0.0,23.0,63.25,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.5,7.5,0.0,8.0,9.5,11.5,0.0,11.06,12.0
31.0,74.0,89.5,14.0,53.0,0.0,8.18,22.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.0,2.5,4.5,8.0,3.5,0.0,3.75,5.09
70.0,56.0,0.0,12.8,76.0,0.0,19.18,52.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,9.0,9.5,8.5,2.0,0.0,7.68,9.44
34.0,89.5,57.5,0.0,72.5,0.0,14.9,41.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,7.0,2.0,6.5,6.5,4.5,0.0,13.31,10.95
64.0,66.5,105.5,29.0,0.0,0.0,20.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.5,0.0,0.5,5.0,8.5,5.0,0.0,4.5,6.0
37.0,83.0,98.0,55.5,78.5,0.0,21.0,57.75,0.0,0.0,0.0,0.0,0.0,0.0,9.5,3.5,8.5,5.5,4.5,9.0,9.0,0.0,9.75,10.65
62.0,80.5,87.5,52.5,69.5,0.0,18.27,50.25,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.0,6.5,6.0,4.0,2.0,5.0,0.0,6.75,7.53
62.0,66.0,82.0,0.0,48.5,0.0,4.9,13.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.5,9.0,5.0,0.0,1.5,0.0,0.0,2.25,0.9
71.0,0.0,90.5,0.0,0.0,0.0,2.36,6.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,8.5,0.0,0.0,0.0,0.0,0.0,6.75,2.49
68.0,68.0,0.0,27.3,71.5,0.0,16.54,45.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,10.0,9.0,9.5,0.5,4.0,1.0,0.0,7.5,8.02
66.0,77.0,112.5,57.0,69.0,0.0,20.27,55.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,5.5,9.0,1.0,7.0,6.5,0.0,4.31,6.03
65.5,31.0,102.5,11.9,33.0,0.0,12.63,34.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5,7.5,4.0,5.0,10.0,5.0,0.0,11.43,5.28
37.0,59.5,85.5,56.5,0.0,0.0,12.9,35.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.0,5.5,0.5,4.5,2.0,6.0,0.0,5.81,3.9
71.0,97.5,106.0,46.0,75.0,0.0,25.27,69.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,9.0,8.5,9.5,9.0,0.0,10.0,0.0,9.75,12.0
71.5,96.0,94.0,52.5,0.0,0.0,20.18,55.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.5,6.5,6.0,6.0,8.5,7.0,0.0,10.31,11.85
59.5,52.5,49.0,0.0,40.0,0.0,7.45,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,7.5,3.0,2.0,0.0,0.0,3.0,1.5
52.5,87.0,88.0,55.5,0.0,0.0,13.09,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.0,6.5,1.5,2.5,8.0,6.5,0.0,3.93,5.7
31.5,76.0,0.0,47.0,50.0,0.0,17.63,48.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,6.5,7.5,4.0,1.0,9.5,0.0,9.56,8.58
33.0,79.5,0.0,37.0,74.0,0.0,15.45,42.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.5,8.5,8.0,3.0,6.0,5.5,0.0,9.37,9.18
